DATE_TIME,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
2020-06-10 19:00:00,uHbuxQJl8lW7ozc,0,0,6645,7.24051e+06
2020-05-28 00:15:00,rGa61gmuvPhdLxV,0,0,0,7.20655e+06
2020-05-17 15:15:00,sjndEbLyjtCKgGv,7333.88,718.062,6442,7.03606e+06
2020-06-01 04:15:00,ih0vzX44oOqAx2f,0,0,0,6.30823e+06
2020-05-17 09:00:00,z9Y9gH1T5YWrNuG,7665.5,750.438,961.375,7.0217e+06
2020-06-11 20:30:00,ih0vzX44oOqAx2f,0,0,5521,6.38655e+06
2020-05-22 01:30:00,ih0vzX44oOqAx2f,0,0,0,6.23354e+06
2020-05-31 13:45:00,1BY6WEcLGh8j5v7,3661.14,358.714,4605.86,6.37673e+06
2020-06-10 14:45:00,zVJPv84UY57bAof,962.875,93.5125,5609.75,7.31607e+06
2020-05-21 16:00:00,adLQvlD726eNBSB,4058.75,398.688,7573.12,6.32119e+06
2020-06-14 17:45:00,3PZuoBAID5Wc2HD,568,54.9625,7480.12,7.2182e+06
2020-05-26 12:15:00,bvBOhCH3iADSZry,11830.1,1153.83,4028.14,6.39636e+06
2020-06-11 07:00:00,pkci93gMrogZuBj,822.857,79.8571,35.1429,7.36933e+06
2020-06-01 19:45:00,ZoEaEvLYb1n2sOq,0,0,5796,7.22844e+06
2020-06-01 08:00:00,uHbuxQJl8lW7ozc,6027.71,590.614,482.143,7.16584e+06
2020-05-22 20:15:00,ZnxXDlPa8U1GXgE,0,0,7275,6.57914e+06
2020-05-22 06:45:00,sjndEbLyjtCKgGv,1182,114.943,55.1429,7.06594e+06
2020-05-31 07:45:00,3PZuoBAID5Wc2HD,2253.12,220.887,197.875,7.10969e+06
2020-05-15 22:45:00,WRmjgnKYAwPKWDb,0,0,0,7.03482e+06
2020-05-19 13:30:00,rGa61gmuvPhdLxV,7763.43,759.929,4325.29,7.14123e+06
2020-05-31 01:15:00,1IF53ai7Xc0U56Y,0,0,0,6.30554e+06
2020-05-29 19:00:00,WRmjgnKYAwPKWDb,0,0,8038,7.1409e+06
2020-05-15 01:15:00,McdE0feGgRqW7Ca,0,0,0,7.15896e+06
2020-06-08 18:15:00,zBIq5rxdHJRwDNY,453.625,43.875,8350.5,6.52326e+06
2020-06-17 04:30:00,ih0vzX44oOqAx2f,0,0,0,6.42037e+06
2020-06-04 18:00:00,WRmjgnKYAwPKWDb,780.857,75.7714,8022,7.18265e+06
2020-05-27 13:00:00,1BY6WEcLGh8j5v7,7683,751.625,4121.38,6.34779e+06
2020-05-25 20:30:00,pkci93gMrogZuBj,0,0,8812,7.25052e+06
2020-06-04 05:00:00,wCURE6d3bPkepu2,0,0,0,6.93078e+06
2020-06-08 20:00:00,McdE0feGgRqW7Ca,0,0,8580,7.34678e+06
2020-06-02 14:00:00,pkci93gMrogZuBj,6763.88,662.487,5415.62,7.30572e+06
2020-05-30 03:30:00,uHbuxQJl8lW7ozc,0,0,0,7.15193e+06
2020-05-19 19:30:00,ZoEaEvLYb1n2sOq,0,0,6805,7.13033e+06
2020-06-16 10:45:00,WRmjgnKYAwPKWDb,8655.29,846.471,2375.14,7.26369e+06
2020-05-27 23:30:00,ih0vzX44oOqAx2f,0,0,6564,6.27886e+06
2020-05-23 02:45:00,bvBOhCH3iADSZry,0,0,0,6.36891e+06
2020-06-14 03:00:00,iCRJl6heRkivqQ3,0,0,0,7.39986e+06
2020-06-08 05:15:00,zVJPv84UY57bAof,0,0,0,7.29379e+06
2020-05-23 07:45:00,bvBOhCH3iADSZry,3447.86,338.957,214.571,6.36912e+06
2020-05-27 04:45:00,1IF53ai7Xc0U56Y,0,0,0,6.27464e+06
2020-06-15 22:15:00,1IF53ai7Xc0U56Y,0,0,6846,6.42121e+06
2020-06-12 04:15:00,wCURE6d3bPkepu2,0,0,0,6.98805e+06
2020-05-17 12:30:00,3PZuoBAID5Wc2HD,7456.12,729.225,4564.5,7.00525e+06
2020-05-31 07:30:00,ZoEaEvLYb1n2sOq,1954.29,191.571,142.143,7.21699e+06
2020-05-25 02:00:00,zVJPv84UY57bAof,0,0,0,7.1888e+06
2020-06-13 23:30:00,3PZuoBAID5Wc2HD,0,0,8633,7.21072e+06
