date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
29/04/2018 07:15,2.88,3.82,0,60.2,100,Weekend,Sunday,Light_Load
04/10/2018 12:00,60.77,48.02,0,78.46,100,Weekday,Thursday,Maximum_Load
26/01/2018 11:30,120.42,59.65,0,89.61,100,Weekday,Friday,Maximum_Load
02/06/2018 14:30,3.13,0,16.6,100,18.53,Weekend,Saturday,Light_Load
07/12/2018 15:00,58.86,20.99,0,94.19,100,Weekday,Friday,Medium_Load
26/03/2018 06:00,3.1,3.49,0,66.41,100,Weekday,Monday,Light_Load
18/12/2018 13:00,9.4,0,20.52,100,41.65,Weekday,Tuesday,Medium_Load
18/04/2018 00:45,3.6,3.35,0,73.21,100,Weekday,Wednesday,Light_Load
23/11/2018 23:30,4.61,2.2,0.07,90.25,99.99,Weekday,Friday,Light_Load
08/12/2018 00:00,3.78,3.13,0.11,77.02,99.96,Weekend,Saturday,Light_Load
15/07/2018 04:30,2.84,5.26,0,47.51,100,Weekend,Sunday,Light_Load
23/05/2018 06:00,3.02,5.26,0,49.79,100,Weekday,Wednesday,Light_Load
26/07/2018 23:15,2.84,5.36,0,46.82,100,Weekday,Thursday,Light_Load
08/11/2018 17:15,64.84,51.37,0,78.38,100,Weekday,Thursday,Maximum_Load
28/10/2018 01:30,2.81,5.18,0,47.68,100,Weekend,Sunday,Light_Load
05/01/2018 14:30,87.05,36.65,0,92.16,100,Weekday,Friday,Medium_Load
24/11/2018 04:30,3.64,3.2,0,75.1,100,Weekend,Saturday,Light_Load
15/10/2018 16:15,111.2,52.49,0,90.43,100,Weekday,Monday,Maximum_Load
14/08/2018 12:00,72.86,56.99,0,78.77,100,Weekday,Tuesday,Maximum_Load
25/05/2018 19:45,37.8,2.2,0.4,99.83,99.99,Weekday,Friday,Medium_Load
19/01/2018 01:00,53.93,32.47,0,85.67,100,Weekday,Friday,Light_Load
18/05/2018 15:45,58.93,30.38,0,88.88,100,Weekday,Friday,Maximum_Load
26/09/2018 04:45,2.59,5.36,0,43.51,100,Weekday,Wednesday,Light_Load
19/05/2018 19:45,3.71,0,20.16,100,18.1,Weekend,Saturday,Medium_Load
13/06/2018 16:45,3.42,0,19.48,100,17.29,Weekday,Wednesday,Maximum_Load
14/06/2018 03:00,2.88,4.14,0,57.11,100,Weekday,Thursday,Light_Load
28/12/2018 11:30,64.94,29.56,0,91.01,100,Weekday,Friday,Maximum_Load
18/01/2018 09:15,97.13,43.92,0,91.12,100,Weekday,Thursday,Medium_Load
24/12/2018 16:30,69.55,29.77,0,91.93,100,Weekday,Monday,Medium_Load
24/06/2018 03:15,2.59,3.38,0,60.82,100,Weekend,Sunday,Light_Load
25/02/2018 11:30,4.68,0,6.34,100,59.39,Weekend,Sunday,Light_Load
03/01/2018 20:30,37.3,2.88,1.22,99.7,99.95,Weekday,Wednesday,Medium_Load
12/10/2018 23:45,3.49,6.26,0,48.69,100,Weekday,Friday,Light_Load
14/09/2018 01:30,3.53,4.93,0,58.22,100,Weekday,Friday,Light_Load
05/04/2018 03:45,3.1,3.71,0,64.12,100,Weekday,Thursday,Light_Load
03/07/2018 07:30,3.53,5.26,0,55.72,100,Weekday,Tuesday,Light_Load
17/09/2018 09:00,56.34,31.25,0,87.45,100,Weekday,Monday,Light_Load
06/12/2018 04:15,3.31,2.77,0,76.69,100,Weekday,Thursday,Light_Load
15/03/2018 06:30,3.38,5.76,0,50.61,100,Weekday,Thursday,Light_Load
01/08/2018 06:30,2.66,4.79,0,48.55,100,Weekday,Wednesday,Light_Load
12/07/2018 01:00,2.99,4.82,0,52.71,100,Weekday,Thursday,Light_Load
24/05/2018 21:45,8.39,0,22.79,100,34.55,Weekday,Thursday,Medium_Load
08/05/2018 23:30,3.6,3.31,0,73.61,100,Weekday,Tuesday,Light_Load
15/07/2018 22:15,4.72,0,22.1,100,20.89,Weekend,Sunday,Medium_Load
21/05/2018 14:45,76.18,47.41,0,84.9,100,Weekday,Monday,Maximum_Load
01/01/2018 17:45,3.6,0,17.39,100,20.27,Weekday,Monday,Light_Load
16/07/2018 21:15,4.9,0,24.01,100,20,Weekday,Monday,Medium_Load
28/09/2018 10:00,47.2,24.48,0,88.77,100,Weekday,Friday,Medium_Load
16/11/2018 19:30,59.04,26.28,0,91.36,100,Weekday,Friday,Maximum_Load
31/07/2018 02:30,2.84,4.36,0,54.58,100,Weekday,Tuesday,Light_Load
05/09/2018 11:30,64.26,38.77,0,85.62,100,Weekday,Wednesday,Maximum_Load
04/12/2018 21:15,5.69,0,20.2,100,27.11,Weekday,Tuesday,Medium_Load
27/09/2018 01:15,2.74,6.01,0,41.48,100,Weekday,Thursday,Light_Load
06/09/2018 17:00,57.89,29.48,0,89.11,100,Weekday,Thursday,Maximum_Load
17/06/2018 14:15,3.02,0,16.85,100,17.64,Weekend,Sunday,Light_Load
06/11/2018 08:15,35.03,30.74,0,75.16,100,Weekday,Tuesday,Light_Load
06/12/2018 22:00,5.54,0,19.98,100,26.72,Weekday,Thursday,Medium_Load
13/01/2018 01:30,4.64,3.89,0,76.63,100,Weekend,Saturday,Light_Load
12/07/2018 01:45,2.95,4.86,0,51.89,100,Weekday,Thursday,Light_Load
26/03/2018 15:15,59.76,14.15,0,97.31,100,Weekday,Monday,Maximum_Load
22/11/2018 12:15,5.22,0,20.7,100,24.45,Weekday,Thursday,Medium_Load
16/11/2018 10:15,67.68,40.68,0,85.71,100,Weekday,Friday,Maximum_Load
08/02/2018 14:30,118.22,54.04,0,90.95,100,Weekday,Thursday,Medium_Load
07/02/2018 03:45,5.9,5.29,0,74.45,100,Weekday,Wednesday,Light_Load
07/04/2018 06:15,3.17,5.33,0,51.12,100,Weekend,Saturday,Light_Load
03/06/2018 23:45,3.17,4.79,0,55.19,100,Weekend,Sunday,Light_Load
