Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
2022-12-18 00:00:00,21,22,Wind,352,Sunday,December,Winter,11400
2024-01-29 00:00:00,14,15,Wind,29,Monday,January,Winter,7917
2024-08-01 00:00:00,15,16,Solar,214,Thursday,August,Summer,8835
2020-11-10 00:00:00,1,2,Wind,315,Tuesday,November,Fall,989
2022-12-19 00:00:00,1,2,Wind,353,Monday,December,Winter,12526
2024-10-18 00:00:00,13,14,Solar,292,Friday,October,Fall,4855
2020-04-10 00:00:00,17,18,Solar,101,Friday,April,Spring,3692
2023-01-25 00:00:00,0,1,Wind,25,Wednesday,January,Winter,2156
2021-12-12 00:00:00,12,13,Wind,346,Sunday,December,Winter,5813
2020-10-11 00:00:00,13,14,Wind,285,Sunday,October,Fall,6106
2024-01-08 00:00:00,23,0,Wind,8,Monday,January,Winter,5515
2020-01-08 00:00:00,18,19,Wind,8,Wednesday,January,Winter,2785
2022-01-29 00:00:00,20,21,Wind,29,Saturday,January,Winter,8498
2021-06-02 00:00:00,15,16,Solar,153,Wednesday,June,Summer,5561
2024-06-11 00:00:00,7,8,Wind,163,Tuesday,June,Summer,2328
2020-06-05 00:00:00,21,22,Wind,157,Friday,June,Summer,6664
2021-05-02 00:00:00,13,14,Solar,122,Sunday,May,Spring,4993
2022-01-13 00:00:00,0,1,Wind,13,Thursday,January,Winter,3276
2020-07-24 00:00:00,3,4,Wind,206,Friday,July,Summer,1739
2024-08-29 00:00:00,5,6,Wind,242,Thursday,August,Summer,2083
2024-01-03 00:00:00,0,1,Wind,3,Wednesday,January,Winter,17272
2024-04-02 00:00:00,2,3,Wind,93,Tuesday,April,Spring,12285
2020-07-29 00:00:00,16,17,Solar,211,Wednesday,July,Summer,3480
2024-11-05 00:00:00,6,7,Wind,310,Tuesday,November,Fall,1690
2022-10-24 00:00:00,8,9,Wind,297,Monday,October,Fall,11508
2023-02-27 00:00:00,10,11,Wind,58,Monday,February,Winter,15692
2020-04-02 00:00:00,15,16,Solar,93,Thursday,April,Spring,4169
2020-05-13 00:00:00,3,4,Wind,134,Wednesday,May,Spring,3174
2023-11-22 00:00:00,14,15,Wind,326,Wednesday,November,Fall,7314
2021-09-11 00:00:00,11,12,Solar,254,Saturday,September,Fall,4969
2025-04-07 00:00:00,15,16,Solar,97,Monday,April,Spring,9862
2025-07-27 00:00:00,22,23,Wind,208,Sunday,July,Summer,3862
2021-03-11 00:00:00,13,14,Wind,70,Thursday,March,Spring,16144
2022-04-30 00:00:00,16,17,Solar,120,Saturday,April,Spring,8188
2023-01-19 00:00:00,23,0,Wind,19,Thursday,January,Winter,1710
2022-09-11 00:00:00,4,5,Wind,254,Sunday,September,Fall,472
2021-09-25 00:00:00,16,17,Solar,268,Saturday,September,Fall,3402
2020-08-08 00:00:00,12,13,Solar,221,Saturday,August,Summer,3996
2021-06-08 00:00:00,1,2,Wind,159,Tuesday,June,Summer,1148
2024-06-10 00:00:00,21,22,Wind,162,Monday,June,Summer,4062
