Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.502,0.074,240.17,6.4,0,0,18
0.374,0.264,245.5,1.8,0,2,0
0.62,0.3,239.85,3,0,1,1
0.28,0.2,235.72,1.4,0,0,0
1.372,0.054,243.95,5.6,0,0,18
0.284,0.254,241.54,1.6,0,1,0
0.196,0.068,244.52,0.8,0,0,1
2.234,0.27,239.05,9.4,0,0,29
0.486,0.12,249.24,2,0,2,0
1.842,0.12,245.22,7.4,0,0,19
0.752,0.102,242.2,3.2,1,0,1
2.192,0,238.17,9.2,0,0,18
1.308,0,242.32,5.4,0,0,19
0.424,0.226,242.65,2,0,0,1
1.288,0,239.65,5.2,0,0,17
0.522,0,241.34,2.2,0,0,1
0.276,0.112,237.02,1.2,1,0,0
1.432,0.248,238.36,6,0,0,17
1.288,0,237.54,5.4,0,0,18
0.314,0.246,243.17,1.6,0,0,1
0.708,0.388,241.67,3.6,0,2,5
0.478,0.366,242.97,2.4,0,3,0
0.596,0,246.63,2.6,0,0,0
1.378,0.048,239.1,5.6,0,0,19
4.762,0.55,235.53,20.4,0,30,18
1.762,0.464,240.54,7.6,0,0,17
0.322,0.112,244.36,1.4,0,0,0
2.832,0.06,237.45,12,0,0,18
1.538,0.078,244.82,6.2,0,0,19
1.47,0,241.01,6.2,0,0,18
0.27,0.122,240.1,1.2,0,0,1
0.308,0.052,243.29,1.6,0,0,1
3.412,0.076,229.35,14.8,35,0,16
0.964,0.428,242.78,4.4,0,1,10
0.346,0.114,243.9,1.4,0,0,0
2.642,0.214,240.17,11,38,0,1
1.342,0.086,240.27,5.6,0,1,18
0.492,0,241.13,2,0,0,1
2.856,0.088,234.34,13.2,15,0,0
3.614,0.094,235.91,15.4,1,0,17
2.03,0.126,235.36,8.6,0,0,17
0.206,0.098,236.79,1,0,1,0
1.442,0.11,243.24,5.8,0,0,18
1.49,0.094,238.53,6.2,0,0,18
0.304,0,241.45,1.4,0,0,0
0.394,0,244.92,1.8,0,0,0
0.306,0.246,243.91,1.6,0,0,1
0.4,0.302,238.44,2,0,2,0
1.348,0,239.77,5.6,1,0,17
0.54,0.074,241.94,2.2,0,4,1
1.232,0,241.84,5,0,0,0
2.438,0,239.78,10,0,0,17
0.288,0.24,243.54,1.4,0,1,1
0.34,0.208,240.53,1.6,0,1,0
0.206,0.094,239.46,1,0,0,0
0.32,0.09,245.84,1.4,0,0,0
1.596,0,240.87,6.6,0,0,17
0.442,0.23,238.75,2,0,0,0
0.392,0.196,241.64,1.8,0,1,0
1.66,0.054,237.56,7,0,0,18
1.778,0.216,240.62,7.4,0,0,18
1.394,0.094,241.44,5.8,0,0,18
0.358,0.098,241.97,1.6,0,0,1
0.444,0.156,242.51,2,0,0,1
0.334,0.092,240.76,1.4,0,0,0
0.268,0.072,241.14,1.2,0,0,1
0.212,0.116,244.46,1,0,0,0
0.252,0.112,238.68,1.2,0,0,1
2.634,0.09,239.77,11,0,0,17
2.29,0,237.56,9.6,0,0,17
0.282,0.188,237.97,1.4,0,2,1
6.028,0.5,232.79,26,43,1,17
1.172,0,241.92,6.2,0,0,0
0.676,0.064,240.17,2.8,0,0,0
3.96,0.222,234.63,17,0,0,17
1.488,0,240.95,6.2,0,0,18
1.33,0.084,238.64,5.6,1,0,18
3.928,0.44,239.06,17.2,25,1,30
1.462,0.892,237.7,7.6,0,0,0
0.264,0,244.5,1,0,0,0
0.24,0,240.83,1,0,0,1
0.284,0.084,243.64,1.2,0,0,0
0.164,0,241.9,0.8,0,0,0
0.17,0,241.9,1,0,0,0
0.282,0,245.79,1.2,0,0,0
0.38,0.086,242.81,1.8,0,0,3
0.158,0,239.73,0.6,0,0,0
0.44,0.074,237.68,1.8,0,0,1
0.234,0.12,241.13,1,0,0,0
0.388,0.25,241.43,1.8,0,1,0
2.052,0.308,238.42,8.6,0,2,28
0.138,0,242.75,0.6,0,0,0
0.176,0.152,240.52,0.8,0,0,0
1.436,0.26,231.46,6.2,0,1,16
0.324,0.076,238.24,1.4,0,0,0
0.31,0,243.91,1.2,0,0,1
3.422,0.232,240.54,14.2,0,0,17
2.16,0.432,237.28,9.2,1,0,18
0.2,0.126,240.02,1,0,0,0
0.266,0.134,241.37,1.2,0,1,0
0.31,0.112,243.04,1.4,0,0,0
0.14,0,241.84,0.6,0,0,1
0.314,0.086,245.04,1.4,0,0,0
2.14,0.19,239.41,9,0,1,17
0.298,0.066,243.14,1.2,0,0,0
1.618,0.184,242.77,6.6,0,0,19
1.474,0.206,236.77,6.2,0,1,17
0.352,0.112,242.82,1.4,0,0,1
1.488,0.084,232.81,6.4,0,0,16
1.538,0.122,240.8,6.4,0,0,19
1.57,0.216,242.83,6.4,0,2,18
1.658,0.118,239.11,6.8,0,0,17
1.494,0,245.98,6,0,0,19
1.792,0.168,240.68,7.4,0,0,0
0.286,0.118,242.94,1.2,0,0,0
1.788,0.326,243.23,7.6,2,2,6
1.498,0.094,241.56,6.2,0,0,19
0.218,0,241.42,0.8,0,0,1
1.476,0.198,242.3,6,0,0,19
0.474,0.104,242.72,2,0,0,0
0.354,0.254,241.68,1.8,0,1,0
0.33,0.218,241.42,1.6,0,0,0
1.574,0.186,243.58,6.4,0,0,18
0.35,0.112,244.56,1.4,0,0,1
0.27,0,249.64,1.2,0,0,0
0.124,0,236.87,0.6,0,0,0
0.222,0,249.2,0.8,0,0,0
0.236,0.112,242.45,1,0,0,0
2.45,0,241.1,10,0,0,19
0.26,0,248.18,1,0,0,1
1.388,0.184,236.8,5.8,0,0,17
0.256,0,244.25,1,0,0,0
1.5,0.054,231.47,6.4,0,0,0
0.446,0.054,241.64,2,1,0,0
0.266,0,243.44,1.2,0,0,0
0.34,0.082,244.24,1.4,0,0,0
1.804,0.25,239.97,7.6,2,2,1
0.288,0.098,242.06,1.2,0,1,0
1.494,0.13,248.17,6,0,0,20
1.694,0.18,241.21,7,0,2,18
2.764,0.088,234.96,11.8,0,37,1
1.44,0.166,243.93,5.8,0,1,18
1.644,0.154,246.39,6.6,0,0,0
1.496,0.1,242.56,6.2,0,0,19
0.34,0,241.01,1.4,0,0,0
0.596,0.126,238.65,2.6,0,0,0
0.344,0.236,240.99,1.6,0,1,1
0.262,0.126,241.21,1.2,0,0,0
3.868,0.32,236.69,16.4,38,0,0
0.588,0.12,246.95,2.8,0,1,0
0.27,0.218,236.39,1.4,0,0,0
0.534,0,234.55,3,0,0,6
0.08,0,240.69,0.2,0,0,1
0.896,0.114,240.5,4.2,2,1,10
0.276,0.09,243.46,1.2,0,0,0
1.43,0.05,235.04,6,0,0,18
0.454,0.142,244.79,2.2,0,0,0
3.522,0.066,235.68,14.8,0,35,18
0.322,0.104,240.26,1.4,0,0,0
0.21,0.146,241.92,1,0,0,0
0.254,0.07,242.54,1,0,0,1
0.338,0.088,241.91,1.4,0,0,0
0.138,0,243.11,0.6,0,0,0
1.59,0.05,239.92,6.6,0,0,18
1.738,0.096,238.94,7.2,0,0,17
1.798,0.124,243.09,7.4,2,0,1
0.114,0,242.55,0.4,0,0,0
2.174,0.23,240.44,9,0,0,16
0.544,0.132,241.94,2.2,0,1,0
1.306,0.056,242.43,5.4,0,0,18
1.67,0,242.47,6.8,0,0,18
0.386,0.198,241.22,1.8,0,1,1
0.532,0,241.03,2.6,0,0,6
0.566,0,241.88,2.2,0,0,1
1.454,0.1,237.31,6.2,0,0,18
2.754,0.088,234.52,11.8,0,0,0
0.246,0.14,243.18,1.2,0,0,1
0.512,0.184,233.32,2.2,0,1,0
0.216,0,242.83,0.8,0,0,0
1.318,0,239.18,5.4,0,0,18
0.218,0.112,238.21,1,0,0,0
1.424,0,249.11,5.6,0,0,19
0.556,0.152,235.83,2.6,0,1,0
2.74,0.512,244.43,11.4,0,0,30
0.36,0,241.48,1.6,0,0,0
0.27,0.208,240.61,1.4,0,2,0
0.266,0,242.39,1.2,0,1,0
0.33,0.124,238.78,1.4,0,0,0
0.542,0,241.12,2.4,0,0,0
1.942,0.214,236.05,8.2,0,1,18
0.516,0.318,242.96,2.8,0,2,1
1.568,0.056,236.62,6.6,0,0,17
0.31,0.258,241.77,1.6,0,1,0
0.574,0.13,239.53,2.4,0,0,1
1.618,0.274,237.85,6.8,0,2,0
1.87,0.166,240.38,8,1,0,18
0.416,0,243.13,1.6,0,0,1
1.366,0.202,240.16,5.6,0,1,1
2.438,0.07,241.8,10,0,2,0
0.334,0.072,243.01,1.6,0,0,1
0.65,0.206,242.67,2.8,0,1,0
1.652,0.098,239.87,6.8,0,1,1
0.31,0.104,242.84,1.2,0,0,1
1.378,0.25,242.5,5.8,0,0,0
0.308,0.1,244.48,1.2,0,1,0
0.466,0.294,241.9,2.4,0,0,0
0.308,0.082,240.53,1.2,0,2,0
4.476,0.248,237.39,18.8,0,0,17
0.242,0,244.06,1,0,0,0
0.256,0,242.09,1,0,0,1
1.27,0.052,238.6,5.2,0,0,17
0.242,0.098,242.89,1,0,0,0
0.326,0,239.81,1.4,0,0,1
1.432,0.108,242.88,5.8,0,0,19
1.406,0.108,239.43,5.8,0,0,18
0.338,0.218,240.21,1.6,0,1,1
