Temperature,Humidity,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
22.76,29.73,0.085,32985.1,19396.7,17623.3
15.92,54.44,0.085,34737.6,29803,14417.3
15.08,57.23,0.076,27894.7,20808.5,16458.8
12.42,72.3,0.081,42476.9,23634.1,25089.7
14.58,80.6,0.08,21341.1,12006.1,11531.6
14.99,69.14,0.074,22043.5,13200,14810.6
11.16,70.8,0.08,32509.8,18302.7,15844.3
19.21,89.4,4.923,21390.7,13222.3,10593
14.66,65.92,0.075,37286.7,30716.2,15834.8
14.2,81.6,0.079,24966.3,15169,14913
23.9,64.15,0.264,35012.4,24290.6,12067.2
13.68,82.4,0.074,22031.4,13367.8,14359.5
21.03,86.5,0.068,40993.9,25383.4,24960
16.38,69.26,0.074,31081.4,25539.1,10130.1
27.06,47.58,4.905,37475.2,24276.2,25140.6
11.86,60.8,0.088,34004.7,18893.6,16938.5
11.83,80.6,0.08,31434.9,18815.9,19358.7
9.38,84.9,0.082,20806.1,16193.9,8608.88
9.39,67.74,4.92,25724.7,16599.4,12434.7
19.2,65.81,4.924,40676,24754.7,25095.9
19.74,47.91,0.078,29593.8,24605,10039.5
27.11,43.35,4.906,40256.1,27416.3,25453.5
16.66,67.21,4.919,43334.8,25452.4,25368.4
12.11,76.6,4.916,22710.5,13437.1,14090.3
23.96,63.4,4.922,28532.1,19507.6,17442.7
26.92,70.2,4.909,36511.9,25906.3,25654.9
16.98,56.04,0.086,23753.8,18628.5,10704.6
25.37,77.8,4.918,29393.2,24421.5,20226.3
16.32,53.54,4.921,40137.7,23463.8,24659.3
24.6,91.3,4.918,27061.1,16540.2,12669.6
15.9,62.58,0.084,36605.3,29736.7,16595.4
27.12,32.78,4.905,28723.3,20269.5,20752.9
21.33,75.2,4.911,32156.3,21945.9,22540.4
17.22,62.59,4.921,26361.1,15427,12214.5
20.53,47.5,0.079,29421.5,23920.7,9351.33
10.95,47.63,0.078,21937.6,18815.6,7398.8
12.73,74.1,0.081,32795.2,17517.1,16751.6
11.88,85.7,0.072,39572.4,22972,23945.8
18.43,71,0.081,33359,17989,22000.6
18.94,81.5,0.071,29146.2,21287.9,14936.4
26.64,53.55,4.907,37782,24569,22877.5
8.7,87.2,0.089,23321.9,13591.5,15044.5
28.72,26.19,0.075,31248.8,22662.5,17431.6
13.87,86.5,4.915,22989.6,17626.6,10282.8
9.89,73.2,0.077,38666.4,23409.1,23317.9
5.593,73.4,0.087,23550.4,14341.6,15452.5
14.1,63.55,0.083,41058.3,24583.6,25390.3
